etd_id_absence,etd_id_etudiant,etd_id_module,etd_date_absence,etd_type_seance,etd_justifiee,etd_duree_heures
200,11,208,2023-09-25,TP,Non,1.5
201,11,200,2024-06-03,TP,Oui,1.5
202,11,203,2022-02-15,TD,Oui,1.5
203,11,208,2022-12-10,TP,Oui,1.5
204,11,206,2024-07-13,Cours,Non,1.5
205,11,205,2023-05-27,TD,Non,1.5
2707,21,59,2023-06-17,Cours,Oui,1.5
210,21,61,2025-01-30,TD,Oui,1.5
212,21,68,2023-07-18,TP,Non,1.5
215,23,181,2025-03-25,TP,Oui,1.5
1533,23,176,2022-01-23,TP,Non,1.5
217,23,182,2025-08-04,TD,Non,-1.5
219,23,179,2025-11-26,TD,Non,1.5
220,23,175,2022-07-28,TD,Oui,1.5
921,24,180,2025-07-08,TD,Oui,-1.5
6660,24,177,2024-05-11,TD,Oui,1.5
1191,24,181,2025-03-10,Cours,Oui,1.5
227,24,175,2022-08-03,Cours,Non,1.5
2814,147,190,2023-08-17,Cours,Oui,1.5
6701,147,197,2025-05-08,TD,Oui,1.5
231,147,196,2025-08-31,TD,Oui,1.5
7762,147,192,2023-06-08,TD,Non,1.5
233,147,189,2024-11-05,Cours,Oui,1.5
234,147,193,2022-09-19,Cours,Non,1.5
235,147,193,2024-08-13,TP,Oui,1.5
236,147,194,2025-03-23,Cours,Non,1.5
238,147,188,2024-06-18,TP,Non,1.5
240,147,197,2024-04-15,TP,Oui,-30.0
244,26,199,2023-08-21,TD,Non,1.5
246,26,201,2023-06-09,TD,Non,1.5
252,28,208,2024-08-20,TP,Non,1.5
253,28,199,2022-09-02,TD,Oui,-1.5
254,15,17,2024-12-29,Cours,Non,1.5
255,15,20,2022-03-13,TP,Oui,1.5
256,30,108,2024-10-07,Cours,Non,1.5
259,30,114,2023-04-08,Cours,Oui,1.5
260,30,101,2022-06-06,TP,Oui,1.5
263,30,102,2022-03-22,TD,Non,1.5
265,32,42,2024-06-16,TP,Non,1.5
6819,32,45,2025-07-26,TD,Non,1.5
267,32,31,2024-05-02,Cours,Oui,1.5
268,32,31,2022-11-01,Cours,Non,1.5
269,32,42,2023-01-07,TP,Oui,1.5
270,32,47,2025-02-25,Cours,Non,1.5
271,32,31,2022-07-15,TD,Oui,1.5
2046,32,30,2023-11-17,Cours,Non,1.5
3393,32,36,2022-10-29,TP,Oui,-1.5
3774,32,33,2022-03-08,TP,Non,1.5
4043,20,56,2025-11-10,Cours,Oui,1.5
286,20,68,2024-10-24,Cours,Oui,1.5
289,20,55,2023-07-29,TD,Non,-1.0
205,20,66,2025-12-28,Cours,Non,1.5
2179,20,63,2023-11-06,Cours,Oui,1.5
295,20,73,2022-11-02,Cours,Non,1.5
296,20,56,2023-07-25,Cours,Oui,1.5
297,20,73,2024-12-31,Cours,Non,1.5
8435,21,91,2023-10-12,TD,Oui,1.5
1613,21,90,2022-06-17,TP,Oui,1.5
300,21,94,2024-07-30,TP,Non,1.5
5055,37,78,2023-01-10,TD,Non,1.5
907,37,80,2023-06-26,TP,Non,1.5
306,37,89,2025-09-14,Cours,Non,1.5
307,37,76,2022-03-31,TP,Oui,1.5
883,37,86,2022-08-31,Cours,Oui,-1.5
1012,22,72,2024-12-01,TD,Non,1.5
314,22,71,2024-02-28,Cours,Oui,1.5
315,23,177,2025-07-05,TD,Oui,1.5
316,23,183,2025-05-07,TD,Non,1.5
318,23,180,2023-03-24,Cours,Non,1.5
322,23,181,2023-11-12,Cours,Non,1.5
326,40,157,2025-08-19,TD,Oui,1.5
327,40,151,2023-07-18,Cours,Non,1.5
3772,40,156,2024-09-22,TP,Non,1.5
329,40,154,2022-11-03,Cours,Non,1.5
331,40,151,2025-01-01,TP,Oui,1.5
8701,40,154,2024-01-21,TD,Non,-1.5
334,40,160,2022-12-11,Cours,Non,1.5
339,40,154,2024-01-19,TD,Non,1.5
343,42,156,2023-04-13,Cours,Non,1.5
344,42,156,2025-08-17,Cours,Oui,1.5
345,42,156,2024-06-11,TD,Non,1.5
346,42,158,2022-10-29,TD,Oui,1.5
2435,42,156,2024-04-25,Cours,Non,1.5
348,42,156,2025-01-06,TD,Non,1.5
349,42,153,2025-09-14,TD,Non,1.5
2482,470,137,2025-04-19,TP,Oui,1.5
355,470,128,2024-07-04,TP,Non,1.5
358,470,136,2025-02-21,Cours,Non,1.5
359,470,148,2023-08-10,TP,Non,1.5
360,470,140,2023-07-06,TP,Non,1.5
361,470,134,2025-01-05,TD,Oui,1.5
4770,44,84,2023-08-24,TD,Non,1.5
364,44,97,2025-04-10,TD,Non,1.5
366,44,93,2025-08-19,TD,Oui,1.5
370,44,79,2025-10-05,Cours,Oui,1.5
374,45,97,2024-02-05,Cours,Oui,1.5
7568,45,87,2024-02-25,TD,Oui,1.5
2498,45,76,2025-11-16,TD,Oui,1.5
378,45,76,2023-12-08,Cours,Oui,1.5
379,45,81,2024-10-09,Cours,Non,1.5
380,45,81,2023-10-27,TP,Non,1.5
4234,45,88,2024-03-24,Cours,Oui,1.5
3460,45,83,2022-03-25,TP,Non,1.5
383,45,79,2023-11-17,TP,Oui,1.5
5204,45,86,2022-04-07,TD,Oui,1.5
5446,45,82,2023-01-21,Cours,Non,1.5
386,46,86,2022-09-20,Cours,Non,1.5
387,46,90,2025-04-02,TD,Non,1.5
392,46,77,2025-06-19,Cours,Non,1.5
393,46,98,2022-01-08,Cours,Non,1.5
397,46,82,2024-02-17,TD,Oui,1.5
2664,47,110,2024-08-28,Cours,Non,1.5
404,47,116,2024-07-23,TD,Oui,1.5
4007,47,105,2025-04-07,Cours,Oui,1.5
6976,47,122,2025-09-27,TD,Non,-1.5
3892,47,117,2024-06-22,Cours,Non,1.5
4374,48,147,2023-09-19,Cours,Non,1.5
5808,48,138,2023-08-14,Cours,Oui,1.5
417,48,141,2022-08-22,Cours,Oui,1.5
418,48,143,2024-03-11,Cours,Oui,1.5
420,48,137,2025-03-28,Cours,Oui,1.5
421,49,176,2022-12-02,Cours,Oui,1.5
422,49,181,2022-08-27,TP,Oui,1.5
7433,49,184,2023-06-12,TP,Oui,1.5
426,49,175,2024-09-06,TP,Non,1.5
427,49,176,2024-12-07,Cours,Non,1.5
428,49,182,2024-09-20,TD,Oui,1.5
431,49,176,2022-12-18,TD,Oui,1.5
1395,49,181,2025-01-24,TD,Oui,1.5
434,49,184,2023-03-06,TD,Oui,1.5
435,49,176,2024-09-10,TP,Non,1.5
437,50,95,2022-04-24,TP,Oui,1.5
3541,50,92,2025-03-18,Cours,Non,1.5
440,50,78,2022-11-25,TP,Non,1.5
441,50,89,2023-02-03,TD,Non,1.5
442,50,91,2024-04-10,Cours,Non,1.5
444,202,209,2024-10-18,TP,Oui,-1.5
3237,202,200,2024-09-30,TD,Oui,1.5
5652,202,202,2024-01-17,TP,Oui,1.5
450,202,207,2022-01-17,Cours,Oui,1.5
451,202,203,2022-01-15,TP,Non,1.5
452,202,200,2024-05-08,Cours,Oui,1.5
8177,52,175,2022-06-08,TD,Oui,-1.5
460,52,183,2025-06-18,TP,Non,1.5
461,52,177,2022-03-25,TP,Oui,1.5
462,52,176,2025-07-22,TD,Oui,1.5
464,52,176,2022-05-03,TP,Oui,1.5
465,52,177,2025-07-20,TD,Non,1.5
8662,52,185,2022-06-26,Cours,Oui,1.5
469,52,176,2025-03-19,Cours,Oui,1.5
441,52,175,2025-11-01,Cours,Non,1.5
473,53,40,2022-01-02,TD,Oui,1.5
475,53,43,2024-09-30,TP,Oui,1.5
477,53,27,2023-03-26,Cours,Non,1.5
479,53,27,2024-10-23,TD,Oui,1.5
4971,53,38,2023-08-01,TP,Non,-1.5
483,53,44,2023-02-02,TD,Non,1.5
486,54,70,2023-05-27,Cours,Oui,1.5
487,54,69,2023-02-16,Cours,Oui,1.5
491,54,55,2023-04-13,TD,Oui,1.5
492,54,64,2024-03-18,Cours,Oui,1.5
494,54,72,2025-03-30,TP,Oui,1.5
496,54,53,2023-11-24,TD,Non,1.5
6054,54,66,2024-09-04,TD,Oui,1.5
501,54,54,2024-04-22,TP,Oui,1.5
502,54,52,2024-07-10,TD,Oui,1.5
503,55,7,2022-12-21,Cours,Oui,1.5
505,55,19,2025-12-24,Cours,Non,1.5
6215,56,185,2022-03-29,TP,Oui,1.5
8360,56,180,2024-01-15,TP,Oui,1.5
510,56,175,2025-10-27,TD,Oui,1.5
511,56,182,2024-05-17,TP,Oui,1.5
3610,56,178,2022-03-07,TP,Oui,1.5
515,56,184,2024-03-05,TD,Oui,1.5
516,56,185,2024-09-14,Cours,Non,1.5
518,56,184,2022-09-03,Cours,Non,1.5
520,56,184,2023-03-05,TD,Oui,1.5
521,56,178,2022-01-11,TD,Non,1.5
523,412,82,2022-05-12,TD,Non,-1.5
525,412,88,2024-05-04,Cours,Oui,-1.5
5273,412,83,2025-03-22,Cours,Non,1.5
529,58,171,2025-06-25,TP,Non,1.5
531,58,173,2024-01-23,TP,Non,1.5
4841,58,165,2023-06-05,Cours,Non,-1.5
7710,58,171,2024-09-24,Cours,Oui,1.5
540,58,170,2025-08-17,Cours,Oui,1.5
541,58,167,2023-08-11,Cours,Non,1.5
542,58,171,2023-03-02,TD,Oui,1.5
6606,58,169,2024-01-10,TD,Non,1.5
544,59,41,2025-04-10,TD,Oui,-5.0
545,59,47,2025-07-30,TP,Oui,1.5
546,59,31,2022-03-04,TP,Oui,1.5
3641,59,28,2023-04-04,Cours,Oui,1.5
552,60,48,2024-09-09,Cours,Oui,1.5
554,60,31,2023-12-08,TD,Oui,1.5
555,60,29,2022-06-04,TP,Non,1.5
230,61,93,2024-07-17,TD,Non,-1.5
559,61,90,2025-10-28,TP,Non,1.5
560,63,58,2022-12-11,TD,Non,1.5
562,63,70,2022-01-29,TD,Oui,-32.0
563,64,63,2024-08-13,TP,Oui,1.5
7958,64,51,2024-01-29,Cours,Non,1.5
568,64,53,2023-02-11,TD,Oui,1.5
571,267,38,2025-08-02,TP,Oui,1.5
572,267,39,2022-07-11,TD,Oui,1.5
573,267,32,2025-07-02,TP,Non,1.5
574,267,29,2023-01-30,Cours,Oui,1.5
580,67,193,2022-03-22,Cours,Oui,1.5
585,69,17,2024-01-30,TP,Non,-1.5
586,69,2,2025-05-22,Cours,Non,1.5
637,69,9,2023-01-03,Cours,Non,1.5
588,69,19,2022-10-09,TP,Non,1.5
272,69,13,2024-01-18,Cours,Oui,-1.5
590,69,19,2023-02-19,Cours,Non,1.5
591,69,23,2024-02-13,TD,Non,1.5
8336,69,6,2024-05-21,TP,Non,-1.5
594,69,18,2025-03-11,Cours,Non,1.5
596,69,20,2024-06-16,TD,Non,1.5
4184,70,154,2022-05-15,TD,Oui,1.5
600,70,152,2024-05-29,TD,Non,-34.0
601,70,155,2024-03-19,TD,Oui,1.5
4422,70,154,2025-06-10,TP,Oui,1.5
603,70,157,2022-02-25,Cours,Non,1.5
6033,34,48,2022-06-16,Cours,Non,1.5
8779,35,156,2023-09-20,TD,Non,1.5
615,35,158,2025-01-27,Cours,Oui,1.5
618,35,154,2024-11-06,TP,Oui,1.5
1980,73,200,2023-02-13,Cours,Non,1.5
621,73,208,2022-03-22,Cours,Oui,1.5
622,73,201,2022-12-16,TD,Oui,1.5
624,73,199,2022-02-14,TP,Oui,1.5
629,73,208,2023-07-24,TD,Oui,1.5
632,73,208,2025-10-23,TD,Non,1.5
636,36,54,2025-08-21,TD,Non,1.5
637,36,67,2022-05-07,TP,Non,1.5
638,36,73,2024-12-05,TP,Oui,-1.5
7084,37,137,2023-12-12,Cours,Oui,1.5
4582,37,132,2023-05-06,Cours,Oui,1.5
645,37,140,2023-02-01,Cours,Non,1.5
3276,76,54,2023-07-10,TD,Non,1.5
649,76,56,2022-07-04,TP,Oui,1.5
652,76,55,2024-06-22,TP,Oui,1.5
6464,76,57,2023-04-09,Cours,Non,1.5
6048,76,61,2023-08-02,TP,Non,1.5
2375,76,69,2022-08-04,TD,Oui,1.5
661,76,55,2024-12-30,Cours,Oui,1.5
663,77,138,2022-09-14,TD,Non,1.5
667,77,146,2024-07-28,TD,Non,1.5
668,77,135,2023-05-03,TD,Non,1.5
4930,77,131,2024-01-08,Cours,Oui,1.5
671,77,134,2023-03-09,TD,Non,1.5
6156,77,143,2024-03-21,Cours,Oui,1.5
675,77,145,2025-03-01,TP,Non,1.5
3538,77,140,2022-02-25,TP,Oui,1.5
678,77,134,2025-07-11,Cours,Non,1.5
679,77,137,2022-04-07,TD,Non,1.5
681,78,73,2023-01-13,Cours,Oui,1.5
7306,78,59,2024-11-30,Cours,Oui,1.5
685,78,66,2024-05-14,Cours,Non,1.5
688,377,152,2025-09-12,Cours,Non,1.5
4861,377,161,2024-09-07,Cours,Oui,-1.5
5172,377,155,2023-02-15,TP,Oui,1.5
695,377,155,2025-01-21,Cours,Non,1.5
7150,377,151,2022-10-29,Cours,Non,1.5
4863,377,157,2024-01-01,Cours,Non,1.5
701,377,152,2024-05-02,TD,Oui,1.5
1270,377,155,2025-09-17,Cours,Non,1.5
704,39,206,2022-01-14,TD,Oui,1.5
707,81,28,2022-10-20,TD,Oui,1.5
709,82,161,2024-08-12,Cours,Oui,1.5
393,82,158,2024-11-09,TD,Oui,1.5
409,83,184,2022-11-25,Cours,Oui,1.5
718,84,91,2022-10-31,TP,Non,1.5
6685,85,159,2024-12-03,TD,Oui,1.5
723,85,158,2024-01-19,Cours,Non,-1.5
724,85,157,2023-05-25,TD,Oui,1.5
1444,86,163,2024-05-13,Cours,Oui,1.5
727,86,166,2025-11-27,TP,Oui,-1.5
828,86,169,2022-12-02,Cours,Oui,1.5
732,86,173,2023-05-04,TD,Oui,1.5
4727,86,167,2025-05-04,Cours,Oui,1.5
738,86,168,2025-12-27,Cours,Oui,1.5
5572,86,168,2024-09-19,Cours,Non,1.5
744,87,143,2024-05-02,TP,Oui,-1.5
745,87,147,2025-01-08,TD,Non,1.5
746,87,129,2022-11-19,TP,Oui,1.5
748,87,128,2023-11-17,TP,Non,1.5
749,87,143,2025-05-24,Cours,Non,-1.5
753,87,138,2024-05-06,TD,Oui,1.5
754,87,141,2022-12-21,TD,Oui,1.5
486,87,143,2022-04-08,TP,Non,1.5
1481,87,147,2025-09-25,TP,Oui,-1.5
6976,87,146,2023-01-28,TD,Non,1.5
758,40,137,2025-07-30,Cours,Non,1.5
3515,40,131,2023-11-16,TP,Non,1.5
764,40,148,2023-12-30,TP,Non,1.5
766,40,141,2023-07-25,Cours,Oui,1.5
6886,40,142,2025-11-03,TP,Non,1.5
772,89,33,2025-08-27,Cours,Oui,1.5
773,291,137,2023-01-18,TP,Non,1.5
776,291,142,2025-10-26,Cours,Non,1.5
8271,291,145,2023-05-30,Cours,Oui,1.5
779,291,141,2025-12-01,TP,Oui,1.5
787,431,200,2024-06-24,TP,Oui,-1.5
5981,431,207,2022-11-30,Cours,Oui,1.5
790,431,209,2024-08-23,TP,Non,1.5
3115,431,203,2022-06-21,Cours,Non,1.5
793,431,206,2022-01-16,TD,Non,-1.5
794,431,204,2024-05-29,Cours,Non,1.5
798,431,200,2022-11-19,TP,Non,1.5
799,43,190,2023-12-10,TD,Oui,1.5
800,43,187,2024-06-13,Cours,Oui,1.5
3024,43,196,2024-03-02,Cours,Non,1.5
804,43,193,2022-04-27,TP,Non,-1.5
805,43,197,2023-12-28,TD,Non,1.5
806,43,187,2022-08-18,TD,Oui,1.5
811,94,27,2024-11-02,Cours,Oui,1.5
7977,94,42,2024-01-14,Cours,Non,1.5
909,94,32,2025-11-23,TD,Oui,1.5
815,94,31,2023-12-07,TD,Non,1.5
817,94,47,2022-08-30,TD,Oui,1.5
819,94,48,2025-07-02,TP,Oui,1.5
820,94,33,2023-09-11,TD,Oui,1.5
4264,94,27,2025-10-24,Cours,Non,1.5
6979,94,45,2022-07-07,TD,Non,1.5
823,94,34,2022-10-29,TD,Oui,1.5
7311,170,39,2024-10-02,TD,Oui,1.5
825,170,36,2022-06-27,TP,Oui,1.5
4063,96,196,2022-06-30,Cours,Oui,1.5
830,96,193,2023-02-01,TP,Oui,1.5
832,96,188,2023-07-30,TP,Oui,1.5
833,96,196,2022-11-15,TD,Non,1.5
6957,96,196,2025-04-23,TP,Non,-1.5
7155,96,194,2023-05-08,TP,Oui,1.5
975,96,197,2023-01-10,TD,Non,1.5
838,96,191,2023-07-10,Cours,Non,-1.5
839,97,196,2024-09-17,TD,Non,1.5
841,98,116,2025-05-25,TD,Oui,1.5
842,98,101,2023-07-03,TP,Oui,1.5
736,98,103,2025-06-15,TD,Oui,1.5
852,98,115,2025-09-10,TP,Non,1.5
414,98,102,2022-12-12,Cours,Non,1.5
854,98,121,2024-12-22,TP,Non,1.5
856,445,189,2023-04-10,TD,Oui,1.5
859,445,191,2022-02-26,TP,Non,-39.0
861,445,197,2023-03-10,TP,Non,1.5
862,445,197,2023-04-28,TD,Non,1.5
864,445,191,2025-06-27,TP,Non,1.5
865,445,194,2022-08-17,TD,Oui,1.5
868,445,197,2022-10-20,Cours,Oui,1.5
870,445,192,2022-02-27,TP,Oui,-1.5
872,45,175,2023-06-13,TP,Oui,-1.5
874,45,181,2022-04-16,TD,Oui,1.5
269,307,196,2025-02-11,TP,Non,1.5
879,307,189,2023-09-03,TP,Oui,1.5
880,307,188,2024-07-20,TP,Oui,1.5
4373,307,193,2023-03-25,TD,Non,1.5
882,307,194,2022-03-29,TD,Oui,1.5
883,307,195,2022-04-21,TD,Oui,1.5
887,102,177,2025-06-22,TP,Non,1.5
8751,102,179,2023-10-29,Cours,Non,1.5
891,47,172,2022-06-17,TD,Non,1.5
893,47,166,2022-05-05,Cours,Oui,1.5
895,47,169,2025-07-10,TD,Non,1.5
896,47,165,2025-11-15,Cours,Oui,-1.5
897,47,165,2024-07-02,TD,Non,1.5
898,47,171,2023-09-26,Cours,Oui,1.5
899,47,173,2024-12-02,TP,Oui,1.5
901,47,166,2024-05-22,TP,Non,1.5
904,47,166,2024-10-10,TP,Oui,1.5
7313,104,116,2023-08-03,TD,Non,1.5
907,104,106,2024-10-14,TD,Non,1.5
908,104,123,2023-11-05,Cours,Non,1.5
909,104,113,2025-12-27,Cours,Oui,1.5
910,104,122,2023-08-20,TD,Non,-1.5
1062,104,112,2024-10-28,Cours,Non,1.5
912,104,118,2022-11-13,Cours,Non,1.5
2389,104,121,2025-12-30,Cours,Oui,1.5
919,105,194,2022-01-13,TP,Oui,1.5
920,105,193,2025-06-09,Cours,Non,1.5
7256,105,190,2023-08-27,TD,Oui,1.5
1014,106,177,2022-11-28,Cours,Non,-1.5
930,106,184,2022-10-17,TD,Oui,1.5
931,106,178,2022-10-23,Cours,Non,1.5
5255,107,164,2025-02-20,TP,Oui,1.5
5790,107,165,2023-08-20,TD,Oui,1.5
939,108,187,2022-04-10,TD,Non,1.5
945,108,192,2022-03-14,TP,Oui,1.5
3272,109,190,2023-05-30,Cours,Oui,1.5
947,109,187,2022-08-02,TD,Non,1.5
949,109,190,2025-07-21,TP,Oui,1.5
953,109,187,2025-11-11,TD,Oui,-1.5
955,109,189,2025-10-15,TD,Non,1.5
958,168,187,2024-01-28,Cours,Non,1.5
959,168,191,2024-01-20,Cours,Non,1.5
960,168,192,2023-02-22,TD,Oui,1.5
961,168,189,2025-02-24,Cours,Oui,1.5
964,168,189,2024-01-19,TD,Oui,1.5
2883,168,196,2022-03-27,TD,Non,1.5
966,168,190,2023-04-02,TP,Oui,1.5
7147,111,178,2022-09-03,TP,Oui,1.5
2038,111,176,2023-11-09,TP,Oui,1.5
6550,113,196,2024-02-02,Cours,Oui,1.5
977,113,189,2024-04-13,TD,Oui,1.5
1343,113,196,2024-10-25,TD,Oui,1.5
979,113,193,2023-06-11,Cours,Non,1.5
980,113,197,2025-10-12,TP,Oui,1.5
983,113,191,2024-11-24,TP,Oui,1.5
984,113,194,2022-08-21,TP,Non,1.5
985,113,193,2025-07-11,TD,Oui,1.5
987,52,208,2024-09-22,TD,Non,1.5
5205,52,199,2022-06-03,Cours,Oui,1.5
989,52,205,2022-05-10,Cours,Non,1.5
991,52,204,2025-01-02,TP,Non,1.5
3460,52,202,2023-06-05,Cours,Oui,1.5
996,52,207,2024-12-17,Cours,Oui,1.5
997,52,202,2025-07-25,TD,Oui,1.5
2009,52,205,2025-08-22,TD,Oui,1.5
1001,115,141,2022-09-30,TP,Oui,1.5
1002,115,126,2025-02-23,TP,Oui,1.5
1003,115,144,2025-07-02,Cours,Non,1.5
1005,115,131,2025-05-13,TP,Oui,1.5
2187,115,138,2023-06-22,Cours,Non,-1.5
2089,115,128,2022-03-21,TP,Oui,1.5
1013,115,135,2022-03-17,TD,Oui,1.5
1014,115,130,2025-03-23,TD,Non,-1.5
1017,116,91,2023-11-14,Cours,Non,1.5
1018,116,79,2023-11-08,TD,Non,1.5
1019,116,96,2024-05-23,Cours,Oui,1.5
1020,116,80,2022-12-10,TP,Oui,1.5
1021,116,76,2024-09-19,Cours,Oui,1.5
1022,116,89,2024-10-15,Cours,Oui,1.5
1024,116,81,2022-12-20,TD,Non,1.5
1025,116,81,2024-08-30,Cours,Oui,1.5
1026,116,79,2022-01-02,Cours,Non,1.5
1027,53,194,2025-04-20,Cours,Non,1.5
1031,378,15,2024-09-17,TP,Non,1.5
1035,378,21,2025-05-28,TD,Oui,1.5
1036,378,16,2023-08-16,TD,Oui,1.5
1041,378,16,2025-08-23,Cours,Oui,1.5
379,378,18,2022-11-26,Cours,Oui,1.5
1048,119,201,2024-07-07,TD,Oui,1.5
2410,119,202,2022-02-10,TD,Non,1.5
1936,119,202,2024-11-07,Cours,Non,1.5
1054,119,203,2024-01-12,Cours,Oui,1.5
1055,119,205,2025-01-13,TD,Non,1.5
1057,119,200,2023-04-14,Cours,Non,1.5
1058,119,205,2022-12-08,TP,Oui,1.5
1427,119,209,2024-09-19,Cours,Oui,1.5
1063,119,208,2022-09-08,TP,Oui,1.5
1066,120,28,2023-05-28,TP,Non,1.5
1068,120,39,2022-06-29,Cours,Non,-1.5
1075,120,47,2025-06-22,TD,Non,1.5
5492,120,30,2023-10-08,TP,Oui,1.5
1080,120,27,2024-09-08,Cours,Oui,1.5
1085,55,203,2023-01-30,TP,Oui,1.5
1087,55,206,2023-12-09,TP,Non,1.5
2862,55,200,2025-04-30,TD,Non,1.5
1090,55,199,2023-07-26,Cours,Oui,1.5
1093,55,206,2025-04-01,TP,Non,1.5
4250,55,207,2025-03-30,TP,Non,-1.5
3805,55,203,2023-12-06,TP,Non,1.5
1096,55,207,2024-07-20,TP,Oui,1.5
1097,55,204,2023-04-03,Cours,Non,1.5
1098,56,197,2022-05-10,Cours,Non,1.5
1099,56,194,2025-02-23,TP,Non,1.5
1100,123,44,2024-01-08,TP,Non,1.5
1102,123,41,2024-12-16,Cours,Oui,1.5
1104,123,28,2023-12-07,Cours,Non,1.5
1106,123,48,2022-03-07,TP,Non,1.5
8259,124,36,2024-09-26,Cours,Non,1.5
