etd_id_note,etd_id_etudiant,etd_id_module,etd_id_enseignant,etd_annee_universitaire,etd_semestre,etd_type_examen,etd_note,etd_date_examen,etd_session
119,4,192,12,2022-2023,1,Examen Final,16.35,2023-06-13,Normale
17379,4,191,46,2023-2024,1,CC,11.81,2024-01-15,Normale
122,4,196,12,2023-2024,2,Examen Final,11.05,2024-11-15,Normale
123,4,196,12,2023-2024,-2,CC,17.52,2023-10-05,Normale
4950,4,197,20,2023-2024,2,TP,18.04,2025-10-29,Normale
129,4,193,15,2024-2025,2,TP,14.28,2024-08-10,Normale
131,4,188,14,2023-2024,1,CC,9.26,2023-12-03,Rattrapage
6241,5,20,28,2022-2023,4,Examen Final,6.27,2024-04-09,Rattrapage
11690,5,2,28,2023-2024,1,CC,12.97,2025-05-07,Normale
149,5,16,42,2024-2025,3,Examen Final,7.5,2024-05-10,Normale
150,5,16,42,2024-2025,3,CC,15.14,2022-12-07,Normale
153,5,21,17,2023-2024,4,CC,18.35,2024-10-25,Normale
155,9,96,55,2024-2025,4,TP,17.52,2025-11-11,Normale
161,9,89,38,2024-2025,-3,Examen Final,8.64,2023-03-10,Rattrapage
162,9,98,25,2022-2023,4,Examen Final,5.83,2022-09-12,Rattrapage
167,9,94,46,2024-2025,4,TP,4.52,2022-11-11,Normale
168,9,95,43,2023-2024,4,Examen Final,6.73,2023-05-11,Rattrapage
176,9,83,30,2024-2025,2,CC,13.15,2022-02-21,Normale
180,9,82,47,2024-2025,-2,Examen Final,8.75,2024-02-14,Normale
182,9,92,5,2022-2023,3,CC,18.84,2022-09-09,Normale
183,9,92,5,2022-2023,3,Examen Final,5.71,2023-06-21,Rattrapage
15242,9,84,5,2022-2023,2,CC,5.61,2024-04-27,Normale
186,9,84,5,2022-2023,2,TP,5.18,2023-03-07,Normale
10260,10,88,51,2022-2023,3,TP,19.92,2025-05-13,Normale
188,10,88,51,2022-2023,3,Examen Final,12.74,2022-11-21,Normale
189,10,86,18,2024-2025,-2,CC,13.7,2025-01-02,Normale
13471,10,96,48,2023-2024,4,CC,9.24,2022-06-20,Normale
5459,10,90,43,2024-2025,-3,TP,8.38,2022-07-08,Normale
300,10,81,38,2023-2024,1,Examen Final,15.92,2024-10-12,Normale
194,10,81,38,2023-2024,1,TP,10.98,2024-03-30,Normale
197,10,94,15,2022-2023,4,TP,16.71,2024-09-26,Normale
199,10,85,12,2023-2024,2,TP,13.72,2024-05-29,Normale
200,10,85,12,2023-2024,2,Examen Final,7.2,2024-02-05,Rattrapage
201,10,85,12,2023-2024,2,CC,18.37,2022-05-12,Normale
202,10,76,34,2023-2024,1,Examen Final,8.05,2023-08-25,Rattrapage
205,10,95,15,2024-2025,-4,CC,9.72,2023-03-17,Normale
206,10,78,30,2024-2025,1,CC,5.96,2025-11-10,Rattrapage
14523,10,97,48,2023-2024,4,Examen Final,7.39,2022-07-30,Normale
1548,10,92,15,2024-2025,3,CC,9.08,2023-02-10,Rattrapage
13873,10,92,15,2024-2025,3,TP,7.15,2024-10-18,Rattrapage
213,10,98,25,2022-2023,4,CC,11.24,2025-05-16,Normale
220,6,46,5,2023-2024,4,Examen Final,5.64,2022-04-08,Normale
221,6,46,5,2023-2024,4,CC,17.21,2022-10-12,Normale
6986,6,26,20,2022-2023,-1,TP,17.06,2025-01-05,Normale
16887,6,26,20,2022-2023,1,CC,19.83,2025-11-10,Normale
225,6,28,43,2022-2023,1,CC,4.77,2022-06-03,Rattrapage
226,6,41,48,2023-2024,3,Examen Final,15.18,2022-10-10,Normale
228,6,41,48,2023-2024,3,CC,6.02,2025-04-11,Normale
231,6,39,20,2023-2024,3,Examen Final,7.61,2023-08-30,Rattrapage
233,6,35,34,2024-2025,2,Examen Final,14.35,2023-02-26,Normale
234,12,200,26,2022-2023,1,TP,7.34,2023-10-01,Rattrapage
235,12,206,23,2024-2025,2,CC,7.5,2024-02-29,Rattrapage
237,12,206,23,2024-2025,2,TP,12.22,2024-03-30,Normale
2871,12,199,2,2022-2023,1,CC,14.37,2022-10-29,Normale
241,12,202,48,2023-2024,1,Examen Final,8.27,2025-09-17,Rattrapage
242,12,202,48,2023-2024,1,TP,12.49,2023-12-22,Normale
251,12,209,36,2023-2024,2,TP,5.05,2023-07-19,Normale
252,12,208,9,2022-2023,-2,Examen Final,10.29,2023-03-27,Normale
254,12,208,9,2022-2023,2,CC,8.29,2022-12-17,Normale
6315,12,203,36,2022-2023,1,CC,7.82,2025-10-27,Rattrapage
258,13,177,33,2022-2023,1,CC,14.87,2022-01-20,Normale
261,13,185,42,2024-2025,2,TP,14.88,2023-08-19,Normale
13762,13,180,49,2022-2023,1,CC,5.6,2024-07-15,Rattrapage
16221,13,180,49,2022-2023,1,Examen Final,11.85,2023-12-20,Normale
605,13,180,49,2022-2023,1,TP,19.84,2023-06-12,Normale
265,13,182,27,2024-2025,2,TP,4.22,2023-09-09,Rattrapage
266,13,182,27,2024-2025,-2,Examen Final,15.36,2024-11-26,Normale
271,13,178,22,2023-2024,1,Examen Final,5.43,2025-08-01,Rattrapage
272,13,179,42,2022-2023,1,Examen Final,8.24,2023-11-10,Rattrapage
273,13,179,42,2022-2023,1,TP,10.26,2024-05-04,Normale
274,13,179,42,2022-2023,1,CC,19.12,2023-07-20,Normale
275,13,181,21,2023-2024,2,Examen Final,12.32,2023-12-05,Normale
277,14,169,19,2024-2025,-2,CC,16.8,2022-02-01,Normale
7039,14,170,48,2023-2024,2,CC,8.89,2023-12-23,Rattrapage
283,14,168,35,2023-2024,1,CC,19.93,2023-02-07,Normale
288,14,173,46,2024-2025,2,Examen Final,10.97,2023-10-23,Normale
7241,14,166,40,2024-2025,1,CC,10.66,2023-02-13,Normale
291,14,166,40,2024-2025,1,Examen Final,13.07,2025-07-10,Normale
294,14,172,37,2022-2023,2,Examen Final,11.46,2024-04-20,Normale
297,8,114,53,2022-2023,3,TP,6.01,2024-08-05,Normale
299,8,103,46,2023-2024,1,CC,4.88,2023-11-14,Normale
302,8,120,4,2022-2023,4,Examen Final,15.85,2024-10-11,Normale
13785,8,110,35,2022-2023,2,CC,16.89,2025-07-01,Normale
12883,8,110,35,2022-2023,2,TP,15.0,2022-08-23,Normale
316,8,108,4,2022-2023,2,Examen Final,18.08,2024-11-30,Normale
307,8,117,3,2022-2023,3,CC,11.58,2024-11-01,Normale
8017,8,112,32,2023-2024,-2,CC,8.8,2023-01-12,Rattrapage
309,16,143,3,2024-2025,3,Examen Final,15.87,2025-01-24,Normale
3275,16,134,41,2022-2023,2,TP,14.68,2025-04-20,Normale
311,16,134,41,2022-2023,2,Examen Final,11.89,2025-09-29,Normale
312,16,145,7,2023-2024,4,Examen Final,11.42,2024-05-20,Normale
313,16,145,7,2023-2024,4,CC,6.37,2024-07-25,Rattrapage
315,16,140,41,2022-2023,3,TP,18.53,2023-12-28,Normale
319,16,139,21,2022-2023,3,CC,11.35,2022-10-14,Normale
320,16,139,21,2022-2023,3,TP,8.45,2024-03-17,Rattrapage
322,16,130,21,2023-2024,1,CC,15.16,2025-04-20,Normale
11433,16,130,21,2023-2024,1,Examen Final,13.35,2024-04-06,Normale
327,16,128,22,2022-2023,1,Examen Final,5.69,2024-02-26,Normale
7223,16,146,53,2022-2023,4,TP,17.55,2022-05-30,Normale
330,16,146,53,2022-2023,-33,CC,11.06,2024-02-06,Normale
331,16,146,53,2022-2023,-4,Examen Final,13.7,2022-03-02,Normale
5249,17,57,36,2022-2023,2,CC,4.53,2022-01-11,Normale
17891,17,57,36,2022-2023,2,TP,12.75,2022-05-28,Normale
340,17,66,36,2023-2024,3,CC,5.89,2022-04-16,Normale
342,17,65,46,2022-2023,-15,TP,15.25,2022-05-20,Normale
9357,17,65,46,2022-2023,3,Examen Final,17.96,2022-11-20,Normale
344,17,60,2,2023-2024,2,Examen Final,10.39,2022-04-27,Normale
349,17,56,29,2022-2023,1,CC,9.53,2024-05-02,Normale
351,17,67,29,2022-2023,3,CC,15.57,2022-08-02,Normale
352,17,67,29,2022-2023,-3,TP,4.57,2025-08-24,Normale
19511,17,72,46,2024-2025,4,Examen Final,12.84,2022-04-17,Normale
16314,9,68,36,2023-2024,3,CC,13.7,2024-09-07,Normale
363,9,55,46,2024-2025,1,CC,19.01,2023-02-26,Normale
6652,9,55,46,2024-2025,1,Examen Final,11.92,2024-01-02,Normale
365,9,55,46,2024-2025,1,TP,18.36,2023-03-28,Normale
11080,9,54,23,2023-2024,1,TP,17.9,2023-05-16,Normale
230,9,65,18,2023-2024,3,Examen Final,9.55,2025-12-15,Rattrapage
369,9,65,18,2023-2024,3,CC,19.21,2024-09-22,Normale
4815,9,69,24,2024-2025,4,Examen Final,5.96,2022-03-15,Normale
5891,9,69,24,2024-2025,4,CC,19.65,2025-12-01,Normale
375,9,56,29,2022-2023,1,Examen Final,11.93,2024-02-23,Normale
12769,9,56,29,2022-2023,1,TP,10.15,2022-04-01,Normale
14006,9,67,29,2022-2023,3,CC,12.52,2025-09-14,Normale
378,9,67,29,2022-2023,3,TP,8.88,2022-02-23,Rattrapage
13959,19,167,46,2024-2025,1,TP,16.3,2023-06-17,Normale
382,19,172,28,2024-2025,2,CC,8.49,2022-06-25,Rattrapage
385,19,166,53,2022-2023,1,CC,16.96,2025-05-30,Normale
794,19,163,37,2022-2023,1,Examen Final,17.38,2023-01-02,Normale
390,19,168,53,2022-2023,1,Examen Final,11.05,2023-06-13,Normale
18173,19,168,53,2022-2023,1,TP,16.26,2023-07-20,Normale
12885,19,168,53,2022-2023,1,CC,8.15,2022-09-18,Rattrapage
12689,19,173,33,2022-2023,2,CC,17.94,2025-09-05,Normale
394,19,171,4,2022-2023,2,Examen Final,4.62,2025-04-02,Rattrapage
13128,19,164,35,2023-2024,1,Examen Final,19.23,2023-06-15,Normale
396,19,164,35,2023-2024,1,CC,19.6,2022-02-03,Normale
397,19,164,35,2023-2024,1,TP,14.85,2023-12-25,Normale
398,19,170,39,2024-2025,2,Examen Final,7.76,2022-06-08,Normale
399,19,169,19,2024-2025,2,Examen Final,5.24,2023-10-30,Normale
400,11,209,36,2023-2024,2,TP,13.95,2022-11-25,Normale
405,11,200,29,2024-2025,1,CC,16.2,2025-08-22,Normale
19635,11,201,49,2024-2025,-1,Examen Final,9.07,2025-03-24,Normale
2828,11,207,8,2023-2024,2,CC,7.69,2022-08-25,Rattrapage
411,11,207,8,2023-2024,2,TP,15.09,2024-06-30,Normale
413,11,199,49,2024-2025,1,TP,18.63,2025-08-31,Normale
415,11,202,24,2024-2025,1,Examen Final,7.92,2025-10-12,Rattrapage
978,21,71,46,2022-2023,4,CC,19.84,2022-09-29,Normale
420,21,57,44,2023-2024,2,CC,15.15,2023-05-10,Normale
421,21,57,44,2023-2024,2,TP,15.39,2022-09-01,Normale
7774,21,54,46,2022-2023,1,Examen Final,9.16,2023-01-01,Rattrapage
431,21,64,8,2022-2023,3,Examen Final,12.31,2025-03-23,Normale
432,21,64,8,2022-2023,3,CC,18.07,2023-10-06,Normale
433,21,64,8,2022-2023,3,TP,5.59,2022-12-06,Rattrapage
434,21,55,11,2022-2023,-1,TP,7.58,2023-08-14,Normale
436,21,63,46,2024-2025,3,CC,14.66,2022-10-16,Normale
437,21,59,2,2022-2023,2,Examen Final,13.57,2022-03-23,Normale
11140,21,59,2,2022-2023,2,TP,12.61,2023-02-04,Normale
10270,21,58,54,2024-2025,2,TP,15.46,2022-09-03,Normale
442,21,58,54,2024-2025,2,CC,11.11,2024-06-04,Normale
9722,22,56,29,2023-2024,-1,Examen Final,7.93,2023-03-27,Rattrapage
447,22,56,29,2023-2024,1,TP,11.52,2024-09-19,Normale
451,22,59,11,2024-2025,-2,TP,15.01,2025-06-10,Normale
455,22,72,26,2023-2024,4,TP,8.73,2022-08-19,Normale
2910,22,72,26,2023-2024,4,CC,10.71,2024-07-04,Normale
13275,22,53,45,2023-2024,1,TP,11.44,2023-10-16,Normale
464,22,69,49,2022-2023,4,Examen Final,10.8,2023-06-18,Normale
2239,22,51,29,2022-2023,1,Examen Final,9.44,2023-09-24,Normale
466,22,51,29,2022-2023,1,CC,11.16,2023-03-30,Normale
7344,22,57,54,2024-2025,2,CC,6.07,2022-02-13,Normale
469,22,57,54,2024-2025,2,TP,16.49,2023-11-14,Normale
472,22,52,2,2023-2024,1,TP,17.76,2023-04-15,Normale
474,23,175,52,2022-2023,1,Examen Final,8.36,2024-02-13,Normale
475,23,175,52,2022-2023,1,CC,14.48,2022-09-26,Normale
480,23,184,17,2022-2023,2,TP,10.8,2022-02-17,Normale
484,23,179,18,2023-2024,1,Examen Final,12.11,2024-02-23,Normale
489,23,180,39,2023-2024,1,TP,12.97,2023-03-02,Normale
490,23,180,39,2023-2024,-1,Examen Final,17.84,2024-09-30,Normale
492,23,181,27,2024-2025,2,CC,8.03,2023-11-23,Rattrapage
493,23,181,27,2024-2025,2,Examen Final,17.35,2022-03-16,Normale
494,23,181,27,2024-2025,2,TP,9.14,2022-01-12,Rattrapage
497,23,177,50,2023-2024,1,TP,12.88,2022-06-16,Normale
4133,23,177,50,2023-2024,1,Examen Final,18.74,2024-05-21,Normale
15212,24,181,21,2023-2024,2,TP,11.92,2025-07-06,Normale
500,24,177,21,2024-2025,1,Examen Final,17.99,2024-05-06,Normale
18087,24,184,22,2023-2024,2,Examen Final,16.85,2024-01-31,Normale
507,24,180,49,2022-2023,1,TP,10.66,2022-11-04,Normale
509,24,180,49,2022-2023,1,Examen Final,8.99,2023-02-13,Normale
15245,24,183,42,2024-2025,2,CC,12.95,2023-04-08,Normale
6213,24,176,19,2023-2024,1,CC,8.39,2025-04-11,Rattrapage
515,24,185,42,2024-2025,2,TP,12.66,2025-09-12,Normale
517,147,188,10,2024-2025,-1,Examen Final,14.7,2024-08-27,Normale
518,147,188,10,2024-2025,1,CC,7.35,2023-04-20,Normale
19569,147,196,6,2022-2023,2,Examen Final,9.17,2022-10-08,Normale
522,147,189,10,2023-2024,1,TP,12.01,2022-08-29,Normale
524,147,197,20,2023-2024,2,TP,17.42,2023-10-12,Normale
13411,147,197,20,2023-2024,2,Examen Final,12.49,2025-05-24,Normale
130,147,192,12,2022-2023,-1,CC,15.12,2023-05-29,Normale
19176,147,195,49,2024-2025,2,Examen Final,12.96,2023-01-27,Normale
19458,147,193,46,2023-2024,2,Examen Final,19.93,2023-02-06,Normale
533,147,190,20,2023-2024,1,CC,9.26,2023-06-04,Rattrapage
535,147,190,20,2023-2024,1,TP,13.71,2022-03-10,Normale
7775,147,187,15,2024-2025,-1,Examen Final,8.05,2025-03-17,Normale
540,147,191,49,2024-2025,1,CC,16.01,2022-08-01,Normale
8052,26,204,18,2022-2023,1,Examen Final,9.03,2023-02-02,Rattrapage
543,26,199,8,2023-2024,1,TP,12.26,2025-09-22,Normale
544,26,199,8,2023-2024,1,CC,10.45,2025-09-29,Normale
545,26,199,8,2023-2024,1,Examen Final,14.71,2022-05-14,Normale
8437,26,207,29,2024-2025,2,TP,8.38,2022-08-30,Rattrapage
551,26,205,26,2023-2024,2,CC,15.67,2023-01-16,Normale
552,26,205,26,2023-2024,2,TP,9.08,2022-12-13,Normale
17880,26,200,26,2022-2023,1,CC,8.97,2025-12-16,Rattrapage
10229,26,208,36,2023-2024,2,TP,8.36,2022-12-29,Normale
558,26,202,48,2023-2024,1,TP,11.84,2025-03-31,Normale
559,26,202,48,2023-2024,1,Examen Final,9.82,2025-07-16,Rattrapage
560,26,202,48,2023-2024,1,CC,14.99,2022-12-16,Normale
17423,13,172,37,2022-2023,2,Examen Final,12.21,2023-03-08,Normale
563,13,172,37,2022-2023,2,CC,4.5,2024-11-24,Normale
565,13,165,28,2024-2025,1,Examen Final,15.22,2025-07-13,Normale
566,13,165,28,2024-2025,-1,CC,9.74,2022-11-22,Normale
7840,13,166,35,2023-2024,1,CC,18.61,2023-09-20,Normale
4850,13,168,53,2022-2023,1,Examen Final,13.5,2025-11-23,Normale
572,13,170,48,2023-2024,-2,TP,15.57,2025-05-15,Normale
6576,13,171,4,2023-2024,2,TP,19.53,2023-04-25,Normale
11036,13,171,4,2023-2024,-2,CC,5.73,2023-07-06,Rattrapage
576,13,167,46,2024-2025,1,CC,18.76,2025-05-07,Normale
578,13,167,46,2024-2025,-1,TP,7.18,2022-09-24,Normale
583,28,201,49,2024-2025,-1,Examen Final,17.3,2025-12-17,Normale
584,28,201,49,2024-2025,-1,TP,7.88,2024-03-04,Normale
587,28,206,23,2024-2025,2,TP,11.81,2025-04-16,Normale
588,28,202,44,2022-2023,1,CC,9.8,2025-06-04,Normale
591,28,207,24,2022-2023,2,CC,7.38,2022-07-10,Rattrapage
16212,28,209,36,2022-2023,2,TP,4.56,2023-01-03,Rattrapage
595,28,208,9,2022-2023,2,Examen Final,16.86,2022-01-26,Normale
5920,28,204,26,2023-2024,1,TP,8.85,2025-07-22,Rattrapage
19666,15,15,28,2023-2024,3,TP,5.94,2024-07-31,Rattrapage
607,15,17,46,2023-2024,-3,Examen Final,14.18,2025-05-05,Normale
17574,15,16,13,2023-2024,3,Examen Final,4.65,2024-02-03,Rattrapage
617,15,23,37,2022-2023,4,Examen Final,8.18,2025-06-14,Rattrapage
620,30,120,4,2022-2023,4,Examen Final,8.4,2025-05-11,Rattrapage
16314,30,120,4,2022-2023,4,CC,16.64,2025-07-24,Normale
623,30,106,40,2022-2023,1,Examen Final,13.41,2025-07-24,Normale
4756,30,110,22,2023-2024,2,CC,9.11,2022-11-07,Rattrapage
626,30,110,22,2023-2024,2,TP,11.39,2024-10-18,Normale
628,30,109,22,2023-2024,2,CC,14.1,2025-02-23,Normale
629,30,109,22,2023-2024,-33,Examen Final,19.76,2022-06-20,Normale
16439,30,101,52,2022-2023,1,TP,16.01,2024-07-13,Normale
631,30,101,52,2022-2023,1,Examen Final,14.79,2022-03-02,Normale
632,30,101,52,2022-2023,1,CC,6.49,2025-07-02,Normale
634,30,114,28,2023-2024,3,CC,12.9,2024-10-02,Normale
635,30,107,19,2022-2023,2,CC,5.55,2023-03-09,Normale
636,30,107,19,2022-2023,2,TP,19.87,2025-03-14,Normale
637,30,107,19,2022-2023,2,Examen Final,8.63,2024-04-01,Normale
6641,17,156,12,2023-2024,1,Examen Final,8.61,2024-08-08,Rattrapage
641,17,154,20,2024-2025,1,TP,7.02,2025-06-21,Normale
642,17,154,20,2024-2025,1,Examen Final,7.59,2025-05-12,Normale
643,17,157,5,2024-2025,2,CC,13.76,2022-12-07,Normale
2682,17,157,5,2024-2025,2,TP,13.11,2024-08-24,Normale
645,17,155,34,2024-2025,1,CC,12.83,2023-01-31,Normale
649,17,153,20,2023-2024,1,TP,18.31,2023-02-28,Normale
654,17,151,5,2024-2025,1,Examen Final,14.83,2024-11-30,Normale
655,17,161,49,2023-2024,-2,TP,19.32,2025-01-05,Normale
659,17,152,55,2022-2023,1,TP,16.13,2025-04-02,Normale
16485,32,33,5,2023-2024,2,TP,9.48,2023-11-09,Rattrapage
662,32,41,48,2023-2024,3,Examen Final,13.51,2022-10-14,Normale
5877,32,32,47,2022-2023,2,TP,19.12,2022-11-21,Normale
665,32,32,47,2022-2023,2,Examen Final,13.08,2023-09-17,Normale
19624,32,32,47,2022-2023,-2,CC,11.6,2024-06-19,Normale
10142,32,34,47,2024-2025,2,Examen Final,16.88,2022-09-21,Normale
668,32,29,25,2022-2023,1,TP,14.19,2022-02-27,Normale
669,32,29,25,2022-2023,1,Examen Final,17.61,2025-04-09,Normale
670,32,36,25,2023-2024,2,CC,15.54,2024-11-24,Normale
6670,32,40,25,2023-2024,3,TP,8.45,2025-08-24,Normale
678,32,40,25,2023-2024,3,Examen Final,7.15,2024-07-29,Rattrapage
679,32,47,43,2024-2025,4,Examen Final,17.53,2024-12-09,Normale
680,32,37,15,2022-2023,2,TP,14.63,2024-03-27,Normale
681,19,111,27,2024-2025,2,CC,8.1,2025-11-13,Normale
682,19,117,33,2024-2025,3,CC,15.03,2024-07-23,Normale
683,19,103,40,2022-2023,1,TP,15.89,2022-05-11,Normale
19989,19,103,40,2022-2023,1,CC,12.36,2022-05-05,Normale
686,19,109,4,2022-2023,2,Examen Final,16.19,2024-09-04,Normale
688,19,118,13,2023-2024,3,TP,5.33,2022-07-24,Normale
689,19,118,13,2023-2024,3,Examen Final,12.68,2023-03-17,Normale
690,19,119,28,2024-2025,4,Examen Final,13.31,2022-08-17,Normale
695,19,102,19,2023-2024,1,TP,9.46,2025-07-05,Rattrapage
15510,19,108,32,2023-2024,2,TP,5.05,2025-10-10,Rattrapage
699,20,54,23,2023-2024,-1,TP,18.84,2023-03-07,Normale
700,20,54,23,2023-2024,1,CC,13.14,2022-11-13,Normale
706,20,68,23,2024-2025,3,TP,10.8,2024-03-16,Normale
708,20,68,23,2024-2025,3,CC,16.2,2024-04-07,Normale
5673,20,56,29,2022-2023,1,Examen Final,19.6,2023-07-16,Normale
710,20,56,29,2022-2023,1,CC,4.31,2023-03-04,Normale
713,20,73,23,2024-2025,4,TP,5.19,2023-10-29,Normale
716,20,58,23,2023-2024,2,Examen Final,5.62,2023-07-20,Rattrapage
2677,20,67,54,2023-2024,3,CC,9.19,2022-11-07,Rattrapage
13370,20,67,54,2023-2024,3,Examen Final,17.98,2025-04-22,Normale
722,20,59,11,2024-2025,2,Examen Final,15.38,2023-10-05,Normale
727,21,86,18,2024-2025,2,Examen Final,16.64,2024-10-04,Normale
728,21,82,5,2023-2024,2,Examen Final,15.75,2025-03-03,Normale
730,21,84,5,2022-2023,2,CC,16.03,2025-11-01,Normale
732,21,84,5,2022-2023,2,Examen Final,11.45,2022-11-08,Normale
734,21,76,34,2023-2024,1,Examen Final,10.42,2023-08-25,Normale
738,21,79,55,2024-2025,1,Examen Final,18.29,2025-03-27,Normale
14138,21,79,55,2024-2025,1,TP,8.94,2022-02-23,Normale
1441,21,89,38,2024-2025,3,CC,12.64,2022-05-22,Normale
18810,21,90,46,2023-2024,3,CC,16.36,2022-02-25,Normale
745,21,83,12,2022-2023,2,TP,7.29,2025-04-23,Rattrapage
749,21,94,15,2022-2023,4,TP,9.73,2024-04-30,Rattrapage
750,36,7,22,2023-2024,2,TP,9.67,2022-05-14,Rattrapage
751,36,7,22,2023-2024,2,CC,10.95,2025-08-28,Normale
12668,36,3,22,2023-2024,1,CC,4.25,2025-08-18,Rattrapage
753,36,3,22,2023-2024,1,TP,18.36,2022-04-03,Normale
755,36,17,37,2024-2025,3,Examen Final,6.49,2022-03-21,Rattrapage
14217,36,9,21,2022-2023,-2,CC,4.48,2023-09-19,Normale
6495,36,21,17,2023-2024,4,Examen Final,4.46,2022-03-12,Rattrapage
762,36,4,52,2024-2025,1,TP,6.72,2022-01-31,Normale
763,36,8,39,2023-2024,2,TP,19.81,2022-08-19,Normale
9345,36,14,52,2022-2023,3,Examen Final,11.64,2025-03-15,Normale
10449,36,14,52,2022-2023,-3,CC,6.08,2023-04-07,Normale
769,37,79,55,2024-2025,-1,TP,14.69,2024-11-30,Normale
770,37,79,55,2024-2025,1,Examen Final,12.27,2023-07-01,Normale
772,37,88,51,2022-2023,-3,CC,15.97,2024-02-28,Normale
17504,37,95,46,2022-2023,4,CC,11.74,2023-12-06,Normale
4819,37,95,46,2022-2023,4,TP,7.0,2024-07-14,Rattrapage
776,37,98,25,2022-2023,4,TP,15.92,2025-09-04,Normale
777,37,98,25,2022-2023,4,Examen Final,16.3,2023-11-22,Normale
779,37,83,25,2023-2024,2,Examen Final,14.61,2025-09-30,Normale
2694,37,84,5,2022-2023,2,Examen Final,19.46,2024-10-30,Normale
8505,37,78,48,2022-2023,-1,CC,16.41,2023-02-11,Normale
788,37,78,48,2022-2023,1,TP,12.41,2022-11-07,Normale
